@relation data

@attribute pr_all1 numeric
@attribute pr_root numeric
@attribute pr_high numeric
@attribute class {1,0}

@data
6.45384e-06, 6.95333e-06, 4.5759e-06, 0
9.45377e-06, 1.91019e-06, 2.97524e-07, 0
9.72704e-06, 2.43107e-06, 5.46593e-07, 0
7.40648e-06, 8.16382e-06, 3.72821e-06, 0
7.98421e-06, 5.60999e-06, 3.6538e-06, 0
1.43869e-05, 3.7878e-06, 2.16315e-06, 0
6.74148e-06, 9.78757e-06, 5.99553e-05, 0
9.40735e-06, 8.07594e-06, 3.42254e-07, 0
6.20019e-06, 2.05688e-06, 3.05256e-05, 1
8.05322e-06, 2.65465e-06, 9.97651e-07, 0
7.28581e-06, 4.2294e-06, 4.68182e-06, 0
7.56002e-06, 3.52467e-06, 5.74237e-06, 0
6.856e-06, 3.23432e-06, 2.11429e-06, 0
1.24015e-05, 4.05225e-06, 2.87442e-06, 1
6.6254e-06, 1.06571e-05, 5.02081e-06, 0
6.01849e-06, 5.28318e-06, 1.11293e-06, 0
7.80345e-06, 3.62708e-06, 6.53637e-06, 1
7.88156e-06, 3.70507e-06, 3.63235e-06, 1
7.75215e-06, 3.85956e-06, 5.71973e-06, 0
7.77678e-06, 1.02064e-05, 2.08171e-06, 0
9.45377e-06, 7.33042e-06, 2.86882e-06, 0
5.88132e-06, 6.96292e-06, 8.0063e-06, 0
8.05322e-06, 4.2294e-06, 5.78608e-06, 0
6.10021e-06, 6.50711e-06, 9.97651e-07, 0
7.28581e-06, 4.29508e-06, 7.07911e-06, 0
6.02555e-06, 4.42821e-06, 4.68182e-06, 0
8.31895e-06, 4.79374e-06, 4.1614e-06, 0
7.26486e-06, 5.44168e-06, 1.17635e-06, 0
9.72704e-06, 4.7985e-06, 3.41079e-06, 0
7.57621e-06, 2.43107e-06, 8.30317e-06, 0
6.02555e-06, 4.61458e-06, 1.88825e-06, 0
6.30352e-06, 1.37228e-06, 2.51815e-07, 1
7.41181e-06, 9.22265e-06, 7.87033e-06, 0
3.43033e-05, 4.10549e-06, 4.49485e-06, 1
7.52868e-06, 8.53177e-06, 1.19914e-06, 0
6.13198e-06, 4.92281e-06, 2.51815e-07, 0
1.17281e-05, 1.37228e-06, 7.75321e-06, 0
7.40007e-06, 8.56656e-06, 5.46593e-07, 1
5.98965e-06, 3.52467e-06, 2.94709e-06, 0
6.87327e-06, 1.02845e-05, 2.07653e-06, 0
6.91053e-06, 7.22508e-06, 3.76784e-06, 0
6.73221e-06, 5.31913e-06, 5.96351e-06, 0
7.52575e-06, 3.46158e-06, 3.10584e-06, 1
6.77409e-06, 1.03409e-05, 2.0986e-06, 0
7.65294e-06, 1.03409e-05, 2.0986e-06, 0
7.19523e-06, 7.13911e-06, 3.71926e-06, 0
6.77409e-06, 4.05558e-06, 3.28083e-06, 0
6.85782e-06, 4.74689e-06, 2.07653e-06, 1
6.64326e-06, 1.02845e-05, 4.32467e-06, 0
6.57261e-06, 6.3955e-06, 5.89844e-06, 0
7.65294e-06, 4.10888e-06, 7.62116e-06, 0
6.68254e-06, 8.53177e-06, 3.34764e-06, 0
1.08396e-05, 4.29566e-06, 7.0529e-06, 0
6.64326e-06, 0.000110129, 0.000282974, 0
7.0293e-06, 3.9005e-06, 3.19637e-06, 0
7.75274e-06, 5.15995e-06, 3.40925e-06, 0
6.55451e-06, 8.53141e-06, 3.56917e-06, 0
6.13198e-06, 3.93404e-06, 4.04042e-06, 0
6.74148e-06, 6.3955e-06, 5.99553e-05, 0
7.41181e-06, 3.51955e-06, 1.31007e-06, 0
7.07914e-06, 6.14961e-06, 1.72218e-06, 0
6.89838e-06, 8.29643e-06, 2.06409e-06, 0
6.1085e-06, 9.95225e-06, 8.83628e-06, 0
6.26722e-06, 3.57782e-06, 4.1614e-06, 0
6.59437e-06, 5.33022e-06, 1.70245e-06, 0
6.53559e-06, 3.87441e-06, 4.08423e-06, 0
7.65652e-06, 3.62708e-06, 6.53637e-06, 0
7.0862e-06, 4.71955e-06, 1.6877e-06, 0
1.7771e-05, 8.1933e-06, 1.44359e-06, 0
6.70942e-06, 2.22587e-05, 4.68469e-06, 0
7.34554e-06, 6.79974e-06, 2.20451e-06, 0
6.20019e-06, 3.46158e-06, 3.10584e-06, 0
9.04693e-06, 5.67542e-06, 2.75981e-06, 0
7.29553e-06, 1.01749e-05, 2.09222e-06, 0
6.70942e-06, 3.52504e-06, 5.96351e-06, 0
7.25119e-06, 5.31913e-06, 3.44249e-06, 0
6.67518e-06, 3.4886e-06, 3.05256e-05, 0
6.20019e-06, 2.52536e-06, 2.33606e-06, 0
6.55451e-06, 3.4886e-06, 3.05256e-05, 0
6.21765e-06, 3.93404e-06, 4.04042e-06, 1
1.6153e-05, 3.74706e-06, 6.3371e-06, 1
1.1391e-05, 1.91019e-06, 2.97524e-07, 0
6.70942e-06, 5.67542e-06, 1.10194e-05, 0
1.01448e-05, 8.48665e-06, 3.73957e-06, 1
6.89955e-06, 5.78598e-06, 4.73568e-05, 0
9.03305e-06, 7.57992e-06, 3.18629e-06, 0
7.26486e-06, 2.65465e-06, 5.21118e-07, 0
6.95732e-06, 1.40656e-06, 2.69593e-07, 0
6.02628e-06, 7.19553e-06, 8.20618e-06, 0
6.96531e-06, 4.3989e-06, 2.94709e-06, 0
7.88927e-06, 3.9946e-06, 7.68647e-06, 0
6.84028e-06, 5.02351e-06, 4.20656e-06, 0
7.41298e-06, 8.38289e-06, 1.72159e-06, 0
1.58865e-05, 1.37228e-06, 2.51815e-07, 1
6.53559e-06, 3.57782e-06, 4.1614e-06, 0
7.79972e-06, 6.64672e-06, 6.82648e-06, 0
6.31922e-06, 6.14164e-06, 1.53403e-06, 0
6.11779e-06, 6.43938e-06, 7.28947e-06, 0
7.03696e-06, 3.57782e-06, 4.1614e-06, 0
7.40007e-06, 3.51955e-06, 5.99553e-05, 1
4.74805e-05, 6.0013e-06, 2.3099e-05, 1
6.07082e-06, 4.05225e-06, 5.02081e-06, 0
2.98391e-05, 4.16794e-06, 6.1984e-06, 1
7.56941e-06, 5.25055e-06, 6.74156e-06, 0
7.2322e-06, 1.91019e-06, 1.48596e-06, 0
8.12928e-06, 2.05688e-06, 3.42254e-07, 0
6.97453e-06, 1.37228e-06, 2.51815e-07, 0
6.31138e-06, 3.58989e-06, 4.47716e-06, 0
7.42887e-06, 6.43137e-06, 2.13563e-06, 0
7.20167e-06, 6.72242e-06, 1.36356e-06, 0
7.3727e-06, 4.73659e-06, 1.16023e-06, 0
7.65294e-06, 4.05558e-06, 3.71926e-06, 0
7.88156e-06, 7.02747e-06, 3.41931e-06, 0
1.51635e-05, 1.26923e-05, 1.89655e-05, 1
1.24046e-05, 2.02317e-05, 4.07063e-06, 0
6.22125e-06, 1.14686e-05, 7.90042e-06, 0
6.21765e-06, 3.74706e-06, 6.3371e-06, 0
6.30653e-06, 3.8659e-06, 5.43578e-06, 0
6.27548e-06, 3.594e-06, 4.29998e-06, 0
6.70028e-06, 1.04817e-05, 2.13024e-06, 0
7.52868e-06, 1.37228e-06, 2.51815e-07, 0
6.5434e-06, 1.51404e-05, 5.01689e-06, 0
1.33584e-05, 2.31345e-05, 8.34103e-06, 0
6.20019e-06, 3.4886e-06, 3.05256e-05, 0
8.19385e-06, 3.52467e-06, 2.11429e-06, 0
6.31138e-06, 4.18713e-06, 5.47224e-06, 0
1.17084e-05, 1.54864e-05, 6.04257e-06, 0
7.41298e-06, 4.18713e-06, 3.18839e-06, 0
