@relation data

@attribute common numeric
@attribute adamic numeric
@attribute jaccards numeric
@attribute class {1,0}

@data
1, 0.272335572813, 0.00560224089636, 0
1, 0.481111664542, 0.00840336134454, 1
1, 0.131939154941, 0.00280112044818, 0
1, 0.138153516428, 0.00280112044818, 0
1, 0.31563520436, 0.00560224089636, 0
1, 0.140838743549, 0.00280112044818, 1
1, 0.275715875607, 0.00560224089636, 1
2, 0.149318506904, 0.00280112044818, 0
1, 0.283246242929, 0.00560224089636, 0
1, 0.160623303904, 0.00280112044818, 0
2, 0.146123110929, 0.00280112044818, 0
1, 0.156517259829, 0.00280112044818, 0
1, 0.733167619918, 0.0140056022409, 0
1, 0.126267666609, 0.00280112044818, 0
1, 0.135282902211, 0.00280112044818, 0
1, 0.126267666609, 0.00280112044818, 0
1, 0.142040315445, 0.00280112044818, 0
1, 0.153339874699, 0.00280112044818, 0
1, 1.72341256357, 0.03081232493, 1
1, 0.170207049226, 0.00280112044818, 0
